timestamp,vehicle_speed,target_speed,throttle_cmd,brake_cmd,pid_error,acceleration,fuel_consumption,engine_power
0.0000,0.0233,16.6700,100.0000,0.0000,16.6467,2.3333,0.0000,0.0817
0.1000,0.2420,16.6700,100.0000,0.0000,16.4280,2.1862,47.1196,0.8468
0.2000,0.4606,16.6700,100.0000,0.0000,16.2094,2.1861,36.6322,1.6120
0.3000,0.6792,16.6700,100.0000,0.0000,15.9908,2.1861,34.3788,2.3771
0.4000,0.8978,16.6700,100.0000,0.0000,15.7722,2.1859,33.5442,3.1422
0.5000,1.1164,16.6700,100.0000,0.0000,15.5536,2.1858,33.1460,3.9073
0.6000,1.3349,16.6700,100.0000,0.0000,15.3351,2.1857,32.9256,4.6723
0.7000,1.5535,16.6700,100.0000,0.0000,15.1165,2.1855,32.7909,5.4372
0.8000,1.7720,16.6700,100.0000,0.0000,14.8980,2.1852,32.7026,6.2021
0.9000,1.9905,16.6700,100.0000,0.0000,14.6795,2.1850,32.6417,6.9669
1.0000,2.2090,16.6700,100.0000,0.0000,14.4610,2.1847,32.5978,7.7316
1.1000,2.4275,16.6700,100.0000,0.0000,14.2425,2.1844,32.5652,8.4962
1.2000,2.6459,16.6700,100.0000,0.0000,14.0241,2.1841,32.5403,9.2606
1.3000,2.8643,16.6700,100.0000,0.0000,13.8057,2.1837,32.5209,10.0250
1.4000,3.0826,16.6700,100.0000,0.0000,13.5874,2.1833,32.5054,10.7892
1.5000,3.3009,16.6700,100.0000,0.0000,13.3691,2.1829,32.4929,11.5533
1.6000,3.5192,16.6700,100.0000,0.0000,13.1508,2.1824,32.4827,12.3172
1.7000,3.7374,16.6700,100.0000,0.0000,12.9326,2.1820,32.4741,13.0810
1.8000,3.9556,16.6700,100.0000,0.0000,12.7144,2.1814,32.4670,13.8446
1.9000,4.1737,16.6700,100.0000,0.0000,12.4963,2.1809,32.4609,14.6080
2.0000,4.3918,16.6700,100.0000,0.0000,12.2782,2.1803,32.4558,15.3712
2.1000,4.6098,16.6700,100.0000,0.0000,12.0602,2.1797,32.4513,16.1342
2.2000,4.8277,16.6700,100.0000,0.0000,11.8423,2.1791,32.4474,16.8970
2.3000,5.0456,16.6700,100.0000,0.0000,11.6244,2.1785,32.4441,17.6595
2.4000,5.2634,16.6700,100.0000,0.0000,11.4066,2.1778,32.4411,18.4219
2.5000,5.4811,16.6700,100.0000,0.0000,11.1889,2.1771,32.4385,19.1840
2.6000,5.6988,16.6700,100.0000,0.0000,10.9712,2.1763,32.4361,19.9458
2.7000,5.9164,16.6700,100.0000,0.0000,10.7536,2.1755,32.4341,20.7073
2.8000,6.1339,16.6700,100.0000,0.0000,10.5361,2.1747,32.4322,21.4686
2.9000,6.3513,16.6700,100.0000,0.0000,10.3187,2.1739,32.4305,22.2296
3.0000,6.5687,16.6700,100.0000,0.0000,10.1013,2.1731,32.4290,22.9903
3.1000,6.7859,16.6700,100.0000,0.0000,9.8841,2.1722,32.4277,23.7507
3.2000,7.0031,16.6700,100.0000,0.0000,9.6669,2.1713,32.4264,24.5108
3.3000,7.2202,16.6700,100.0000,0.0000,9.4498,2.1703,32.4253,25.2706
3.4000,7.4371,16.6700,100.0000,0.0000,9.2329,2.1693,32.4243,26.0300
3.5000,7.6540,16.6700,100.0000,0.0000,9.0160,2.1683,32.4233,26.7891
3.6000,7.8708,16.6700,100.0000,0.0000,8.7992,2.1673,32.4225,27.5478
3.7000,8.0875,16.6700,100.0000,0.0000,8.5825,2.1663,32.4217,28.3062
3.8000,8.3040,16.6700,100.0000,0.0000,8.3660,2.1652,32.4209,29.0641
3.9000,8.5201,16.6700,98.7705,0.0000,8.1499,2.1354,32.4171,29.4536
4.0000,8.7265,16.6700,93.3996,0.0000,7.9435,2.0090,32.3492,28.5269
4.1000,8.9210,16.6700,88.5209,0.0000,7.7490,1.8941,32.2074,27.6394
4.2000,9.1045,16.6700,84.0024,0.0000,7.5655,1.7876,32.0056,26.7680
4.3000,9.2778,16.6700,79.7889,0.0000,7.3922,1.6883,31.7543,25.9092
4.4000,9.4414,16.6700,75.8506,0.0000,7.2286,1.5955,31.4628,25.0648
4.5000,9.5962,16.6700,72.1664,0.0000,7.0738,1.5086,31.1388,24.2382
4.6000,9.7425,16.6700,68.7189,0.0000,6.9275,1.4273,30.7889,23.4323
4.7000,9.8810,16.6700,65.4923,0.0000,6.7890,1.3512,30.4187,22.6496
4.8000,10.0122,16.6700,62.4724,0.0000,6.6578,1.2799,30.0330,21.8919
4.9000,10.1365,16.6700,59.6455,0.0000,6.5335,1.2132,29.6360,21.1608
5.0000,10.2543,16.6700,56.9993,0.0000,6.4157,1.1507,29.2310,20.4571
5.1000,10.3661,16.6700,54.5220,0.0000,6.3039,1.0922,28.8210,19.7814
5.2000,10.4723,16.6700,52.2026,0.0000,6.1977,1.0374,28.4084,19.1338
5.3000,10.5732,16.6700,50.0309,0.0000,6.0968,0.9861,27.9954,18.5145
5.4000,10.6691,16.6700,47.9973,0.0000,6.0009,0.9380,27.5837,17.9231
5.5000,10.7604,16.6700,46.0929,0.0000,5.9096,0.8929,27.1747,17.3593
5.6000,10.8474,16.6700,44.3092,0.0000,5.8226,0.8508,26.7695,16.8223
5.7000,10.9302,16.6700,42.6385,0.0000,5.7398,0.8112,26.3693,16.3117
5.8000,11.0093,16.6700,41.0734,0.0000,5.6607,0.7742,25.9747,15.8266
5.9000,11.0848,16.6700,39.6071,0.0000,5.5852,0.7394,25.5865,15.3663
6.0000,11.1569,16.6700,38.2331,0.0000,5.5131,0.7069,25.2050,14.9297
6.1000,11.2259,16.6700,36.9455,0.0000,5.4441,0.6764,24.8308,14.5162
6.2000,11.2920,16.6700,35.7387,0.0000,5.3780,0.6477,24.4641,14.1246
6.3000,11.3553,16.6700,34.6074,0.0000,5.3147,0.6209,24.1051,13.7542
6.4000,11.4160,16.6700,33.5467,0.0000,5.2540,0.5957,23.7540,13.4039
6.5000,11.4742,16.6700,32.5521,0.0000,5.1958,0.5721,23.4108,13.0729
6.6000,11.5302,16.6700,31.6193,0.0000,5.1398,0.5500,23.0756,12.7602
6.7000,11.5840,16.6700,30.7443,0.0000,5.0860,0.5292,22.7484,12.4650
6.8000,11.6359,16.6700,29.9232,0.0000,5.0341,0.5096,22.4291,12.1864
6.9000,11.6858,16.6700,29.1528,0.0000,4.9842,0.4913,22.1177,11.9236
7.0000,11.7340,16.6700,28.4295,0.0000,4.9360,0.4741,21.8141,11.6757
7.1000,11.7805,16.6700,27.7505,0.0000,4.8895,0.4579,21.5181,11.4420
7.2000,11.8254,16.6700,27.1128,0.0000,4.8446,0.4427,21.2297,11.2217
7.3000,11.8689,16.6700,26.5138,0.0000,4.8011,0.4284,20.9487,11.0142
7.4000,11.9110,16.6700,25.9510,0.0000,4.7590,0.4150,20.6749,10.8186
7.5000,11.9518,16.6700,25.4219,0.0000,4.7182,0.4023,20.4082,10.6343
7.6000,11.9914,16.6700,24.9245,0.0000,4.6786,0.3904,20.1484,10.4608
7.7000,12.0298,16.6700,24.4568,0.0000,4.6402,0.3792,19.8953,10.2973
7.8000,12.0671,16.6700,24.0166,0.0000,4.6029,0.3687,19.6488,10.1434
7.9000,12.1035,16.6700,23.6024,0.0000,4.5665,0.3587,19.4087,9.9985
8.0000,12.1388,16.6700,23.2124,0.0000,4.5312,0.3494,19.1749,9.8620
8.1000,12.1733,16.6700,22.8451,0.0000,4.4967,0.3405,18.9471,9.7335
8.2000,12.2068,16.6700,22.4990,0.0000,4.4632,0.3322,18.7252,9.6125
8.3000,12.2396,16.6700,22.1727,0.0000,4.4304,0.3244,18.5090,9.4985
8.4000,12.2717,16.6700,21.8650,0.0000,4.3983,0.3169,18.2983,9.3912
8.5000,12.3030,16.6700,21.5746,0.0000,4.3670,0.3099,18.0931,9.2901
8.6000,12.3336,16.6700,21.3005,0.0000,4.3364,0.3033,17.8930,9.1949
8.7000,12.3636,16.6700,21.0416,0.0000,4.3064,0.2970,17.6980,9.1052
8.8000,12.3929,16.6700,20.7970,0.0000,4.2771,0.2911,17.5079,9.0208
8.9000,12.4217,16.6700,20.5656,0.0000,4.2483,0.2855,17.3226,8.9411
9.0000,12.4500,16.6700,20.3468,0.0000,4.2200,0.2802,17.1419,8.8661
9.1000,12.4777,16.6700,20.1396,0.0000,4.1923,0.2751,16.9657,8.7954
9.2000,12.5050,16.6700,19.9433,0.0000,4.1650,0.2703,16.7938,8.7287
9.3000,12.5318,16.6700,19.7572,0.0000,4.1382,0.2658,16.6261,8.6657
9.4000,12.5581,16.6700,19.5808,0.0000,4.1119,0.2615,16.4625,8.6064
9.5000,12.5840,16.6700,19.4132,0.0000,4.0860,0.2573,16.3028,8.5504
9.6000,12.6095,16.6700,19.2541,0.0000,4.0605,0.2534,16.1469,8.4975
9.7000,12.6347,16.6700,19.1029,0.0000,4.0353,0.2497,15.9948,8.4475
9.8000,12.6594,16.6700,18.9590,0.0000,4.0106,0.2462,15.8462,8.4004
9.9000,12.6839,16.6700,18.8220,0.0000,3.9861,0.2428,15.7011,8.3558
10.0000,12.7080,16.6700,18.6915,0.0000,3.9620,0.2395,15.5593,8.3136
10.1000,12.7318,16.6700,18.5670,0.0000,3.9382,0.2365,15.4208,8.2737
10.2000,12.7552,16.6700,18.4482,0.0000,3.9148,0.2335,15.2855,8.2359
10.3000,12.7784,16.6700,18.3347,0.0000,3.8916,0.2307,15.1532,8.2001
10.4000,12.8013,16.6700,18.2262,0.0000,3.8687,0.2280,15.0239,8.1662
10.5000,12.8240,16.6700,18.1224,0.0000,3.8460,0.2254,14.8975,8.1341
10.6000,12.8464,16.6700,18.0230,0.0000,3.8236,0.2229,14.7738,8.1036
10.7000,12.8685,16.6700,17.9277,0.0000,3.8015,0.2205,14.6529,8.0746
10.8000,12.8905,16.6700,17.8362,0.0000,3.7795,0.2182,14.5346,8.0471
10.9000,12.9122,16.6700,17.7484,0.0000,3.7578,0.2159,14.4188,8.0209
11.0000,12.9336,16.6700,17.6639,0.0000,3.7364,0.2138,14.3055,7.9961
11.1000,12.9549,16.6700,17.5826,0.0000,3.7151,0.2117,14.1946,7.9724
11.2000,12.9760,16.6700,17.5044,0.0000,3.6940,0.2097,14.0860,7.9498
11.3000,12.9968,16.6700,17.4289,0.0000,3.6732,0.2078,13.9797,7.9282
11.4000,13.0175,16.6700,17.3561,0.0000,3.6525,0.2059,13.8756,7.9077
11.5000,13.0380,16.6700,17.2858,0.0000,3.6320,0.2041,13.7735,7.8880
11.6000,13.0583,16.6700,17.2178,0.0000,3.6117,0.2024,13.6736,7.8692
11.7000,13.0785,16.6700,17.1519,0.0000,3.5915,0.2007,13.5756,7.8512
11.8000,13.0984,16.6700,17.0882,0.0000,3.5716,0.1990,13.4796,7.8340
11.9000,13.1183,16.6700,17.0264,0.0000,3.5517,0.1974,13.3855,7.8175
12.0000,13.1379,16.6700,16.9664,0.0000,3.5321,0.1959,13.2932,7.8016
12.1000,13.1574,16.6700,16.9081,0.0000,3.5126,0.1944,13.2027,7.7864
12.2000,13.1768,16.6700,16.8515,0.0000,3.4932,0.1929,13.1139,7.7717
12.3000,13.1960,16.6700,16.7964,0.0000,3.4740,0.1915,13.0268,7.7576
12.4000,13.2151,16.6700,16.7427,0.0000,3.4549,0.1900,12.9413,7.7440
12.5000,13.2340,16.6700,16.6904,0.0000,3.4360,0.1887,12.8575,7.7308
12.6000,13.2528,16.6700,16.6393,0.0000,3.4172,0.1873,12.7752,7.7181
12.7000,13.2714,16.6700,16.5895,0.0000,3.3986,0.1860,12.6944,7.7058
12.8000,13.2900,16.6700,16.5408,0.0000,3.3800,0.1847,12.6150,7.6939
12.9000,13.3084,16.6700,16.4932,0.0000,3.3616,0.1835,12.5371,7.6824
13.0000,13.3267,16.6700,16.4466,0.0000,3.3433,0.1822,12.4606,7.6712
13.1000,13.3448,16.6700,16.4010,0.0000,3.3252,0.1810,12.3854,7.6604
13.2000,13.3628,16.6700,16.3563,0.0000,3.3072,0.1798,12.3115,7.6498
13.3000,13.3808,16.6700,16.3125,0.0000,3.2892,0.1787,12.2389,7.6396
13.4000,13.3986,16.6700,16.2694,0.0000,3.2714,0.1775,12.1676,7.6295
13.5000,13.4163,16.6700,16.2272,0.0000,3.2537,0.1764,12.0975,7.6198
13.6000,13.4338,16.6700,16.1857,0.0000,3.2362,0.1753,12.0286,7.6103
13.7000,13.4513,16.6700,16.1449,0.0000,3.2187,0.1742,11.9608,7.6009
13.8000,13.4687,16.6700,16.1048,0.0000,3.2013,0.1731,11.8941,7.5918
13.9000,13.4859,16.6700,16.0653,0.0000,3.1841,0.1720,11.8286,7.5829
14.0000,13.5030,16.6700,16.0264,0.0000,3.1670,0.1710,11.7641,7.5742
14.1000,13.5201,16.6700,15.9881,0.0000,3.1499,0.1699,11.7006,7.5656
14.2000,13.5370,16.6700,15.9503,0.0000,3.1330,0.1689,11.6382,7.5572
14.3000,13.5539,16.6700,15.9131,0.0000,3.1161,0.1679,11.5768,7.5489
14.4000,13.5706,16.6700,15.8763,0.0000,3.0994,0.1669,11.5163,7.5408
14.5000,13.5872,16.6700,15.8401,0.0000,3.0828,0.1659,11.4568,7.5328
14.6000,13.6038,16.6700,15.8043,0.0000,3.0662,0.1650,11.3982,7.5249
14.7000,13.6202,16.6700,15.7689,0.0000,3.0498,0.1640,11.3405,7.5172
14.8000,13.6366,16.6700,15.7340,0.0000,3.0334,0.1630,11.2836,7.5095
14.9000,13.6528,16.6700,15.6995,0.0000,3.0172,0.1621,11.2277,7.5020
15.0000,13.6690,16.6700,15.6653,0.0000,3.0010,0.1612,11.1725,7.4945
15.1000,13.6850,16.6700,15.6316,0.0000,2.9850,0.1602,11.1182,7.4871
15.2000,13.7010,16.6700,15.5981,0.0000,2.9690,0.1593,11.0647,7.4799
15.3000,13.7169,16.6700,15.5651,0.0000,2.9531,0.1584,11.0120,7.4727
15.4000,13.7327,16.6700,15.5324,0.0000,2.9373,0.1575,10.9600,7.4655
15.5000,13.7484,16.6700,15.5000,0.0000,2.9216,0.1566,10.9088,7.4585
15.6000,13.7640,16.6700,15.4679,0.0000,2.9060,0.1558,10.8583,7.4515
15.7000,13.7795,16.6700,15.4361,0.0000,2.8905,0.1549,10.8086,7.4446
15.8000,13.7950,16.6700,15.4046,0.0000,2.8750,0.1540,10.7595,7.4377
15.9000,13.8103,16.6700,15.3733,0.0000,2.8597,0.1532,10.7111,7.4309
16.0000,13.8256,16.6700,15.3424,0.0000,2.8444,0.1523,10.6634,7.4241
16.1000,13.8408,16.6700,15.3117,0.0000,2.8292,0.1515,10.6163,7.4174
16.2000,13.8559,16.6700,15.2813,0.0000,2.8141,0.1506,10.5699,7.4108
16.3000,13.8709,16.6700,15.2511,0.0000,2.7991,0.1498,10.5241,7.4041
16.4000,13.8858,16.6700,15.2212,0.0000,2.7842,0.1490,10.4789,7.3976
16.5000,13.9007,16.6700,15.1915,0.0000,2.7693,0.1482,10.4343,7.3910
16.6000,13.9155,16.6700,15.1621,0.0000,2.7545,0.1473,10.3903,7.3846
16.7000,13.9302,16.6700,15.1328,0.0000,2.7398,0.1465,10.3469,7.3781
16.8000,13.9448,16.6700,15.1038,0.0000,2.7252,0.1457,10.3040,7.3717
16.9000,13.9593,16.6700,15.0750,0.0000,2.7107,0.1449,10.2617,7.3653
17.0000,13.9737,16.6700,15.0465,0.0000,2.6963,0.1441,10.2200,7.3589
17.1000,13.9881,16.6700,15.0181,0.0000,2.6819,0.1434,10.1787,7.3526
17.2000,14.0024,16.6700,14.9899,0.0000,2.6676,0.1426,10.1380,7.3463
17.3000,14.0166,16.6700,14.9619,0.0000,2.6534,0.1418,10.0978,7.3401
17.4000,14.0308,16.6700,14.9341,0.0000,2.6392,0.1410,10.0581,7.3338
17.5000,14.0448,16.6700,14.9066,0.0000,2.6252,0.1403,10.0189,7.3276
17.6000,14.0588,16.6700,14.8792,0.0000,2.6112,0.1395,9.9802,7.3214
17.7000,14.0727,16.6700,14.8519,0.0000,2.5973,0.1388,9.9419,7.3152
17.8000,14.0866,16.6700,14.8249,0.0000,2.5834,0.1380,9.9041,7.3091
17.9000,14.1003,16.6700,14.7980,0.0000,2.5697,0.1373,9.8667,7.3030
18.0000,14.1140,16.6700,14.7714,0.0000,2.5560,0.1365,9.8298,7.2969
18.1000,14.1276,16.6700,14.7448,0.0000,2.5424,0.1358,9.7933,7.2908
18.2000,14.1411,16.6700,14.7185,0.0000,2.5289,0.1351,9.7573,7.2848
18.3000,14.1546,16.6700,14.6923,0.0000,2.5154,0.1343,9.7217,7.2787
18.4000,14.1680,16.6700,14.6663,0.0000,2.5020,0.1336,9.6864,7.2727
18.5000,14.1813,16.6700,14.6405,0.0000,2.4887,0.1329,9.6516,7.2667
18.6000,14.1946,16.6700,14.6148,0.0000,2.4754,0.1322,9.6172,7.2608
18.7000,14.2078,16.6700,14.5892,0.0000,2.4622,0.1315,9.5832,7.2548
18.8000,14.2209,16.6700,14.5639,0.0000,2.4491,0.1308,9.5496,7.2489
18.9000,14.2339,16.6700,14.5387,0.0000,2.4361,0.1300,9.5163,7.2430
19.0000,14.2469,16.6700,14.5136,0.0000,2.4231,0.1294,9.4834,7.2371
19.1000,14.2598,16.6700,14.4887,0.0000,2.4102,0.1287,9.4509,7.2312
19.2000,14.2726,16.6700,14.4639,0.0000,2.3974,0.1280,9.4187,7.2253
19.3000,14.2853,16.6700,14.4393,0.0000,2.3847,0.1273,9.3869,7.2195
19.4000,14.2980,16.6700,14.4148,0.0000,2.3720,0.1266,9.3554,7.2136
19.5000,14.3107,16.6700,14.3905,0.0000,2.3593,0.1259,9.3242,7.2078
19.6000,14.3232,16.6700,14.3663,0.0000,2.3468,0.1252,9.2934,7.2020
19.7000,14.3357,16.6700,14.3423,0.0000,2.3343,0.1246,9.2629,7.1962
19.8000,14.3481,16.6700,14.3184,0.0000,2.3219,0.1239,9.2328,7.1905
19.9000,14.3605,16.6700,14.2946,0.0000,2.3095,0.1232,9.2029,7.1847
20.0000,14.3728,16.6700,14.2710,0.0000,2.2972,0.1226,9.1734,7.1790
20.1000,14.3850,16.6700,14.2475,0.0000,2.2850,0.1219,9.1441,7.1733
20.2000,14.3971,16.6700,14.2242,0.0000,2.2729,0.1213,9.1152,7.1676
20.3000,14.4092,16.6700,14.2009,0.0000,2.2608,0.1206,9.0866,7.1619
20.4000,14.4213,16.6700,14.1779,0.0000,2.2487,0.1200,9.0582,7.1562
20.5000,14.4332,16.6700,14.1549,0.0000,2.2368,0.1193,9.0302,7.1505
20.6000,14.4451,16.6700,14.1321,0.0000,2.2249,0.1187,9.0024,7.1449
20.7000,14.4570,16.6700,14.1094,0.0000,2.2130,0.1181,8.9749,7.1393
20.8000,14.4687,16.6700,14.0869,0.0000,2.2013,0.1174,8.9476,7.1337
20.9000,14.4804,16.6700,14.0644,0.0000,2.1896,0.1168,8.9207,7.1281
21.0000,14.4921,16.6700,14.0421,0.0000,2.1779,0.1162,8.8940,7.1225
21.1000,14.5037,16.6700,14.0199,0.0000,2.1663,0.1156,8.8675,7.1169
21.2000,14.5152,16.6700,13.9979,0.0000,2.1548,0.1150,8.8414,7.1114
21.3000,14.5267,16.6700,13.9760,0.0000,2.1433,0.1143,8.8154,7.1058
21.4000,14.5381,16.6700,13.9542,0.0000,2.1319,0.1137,8.7897,7.1003
21.5000,14.5494,16.6700,13.9325,0.0000,2.1206,0.1131,8.7643,7.0948
21.6000,14.5607,16.6700,13.9109,0.0000,2.1093,0.1125,8.7391,7.0893
21.7000,14.5719,16.6700,13.8895,0.0000,2.0981,0.1119,8.7141,7.0839
21.8000,14.5831,16.6700,13.8682,0.0000,2.0869,0.1113,8.6894,7.0784
21.9000,14.5942,16.6700,13.8470,0.0000,2.0758,0.1107,8.6649,7.0730
22.0000,14.6052,16.6700,13.8259,0.0000,2.0648,0.1101,8.6406,7.0675
22.1000,14.6162,16.6700,13.8049,0.0000,2.0538,0.1095,8.6166,7.0621
